<<<<<<< HEAD
Symbol,Company Name,Industry
CCL,CCL Products (I) Ltd.,CONSUMER GOODS
CGPOWER,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES
CADILAHC,Cadila Healthcare Ltd.,PHARMA
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES
CANBK,Canara Bank,FINANCIAL SERVICES
CAPF,Capital First Ltd.,FINANCIAL SERVICES
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING
CASTROLIND,Castrol India Ltd.,ENERGY
CEATLTD,Ceat Ltd.,AUTOMOBILE
CENTRALBK,Central Bank of India,FINANCIAL SERVICES
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS
CENTURYTEX,Century Textile & Industries Ltd.,CEMENT & CEMENT PRODUCTS
CERA,Cera Sanitaryware Ltd,CONSTRUCTION
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES
CHENNPETRO,Chennai Petroleum Corporation Ltd.,ENERGY
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES
CIPLA,Cipla Ltd.,PHARMA
CUB,City Union Bank Ltd.,FINANCIAL SERVICES
COALINDIA,Coal India Ltd.,METALS
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING
COFFEEDAY,Coffee Day Enterprises Ltd.,CONSUMER GOODS
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS
CONCOR,Container Corporation of India Ltd.,SERVICES
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES
COX&KINGS,Cox & Kings Ltd.,SERVICES
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING
CYIENT,Cyient Ltd.,IT
DBREALTY,D B Realty Ltd.,CONSTRUCTION
DBCORP,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS
DLF,DLF Ltd.,CONSTRUCTION
DABUR,Dabur India Ltd.,CONSUMER GOODS
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS
DELTACORP,Delta Corp Ltd.,SERVICES
DEN,Den Networks Ltd.,MEDIA & ENTERTAINMENT
DENABANK,Dena Bank,FINANCIAL SERVICES
DHFL,Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES
DBL,Dilip Buildcon Ltd.,CONSTRUCTION
DISHTV,Dish TV India Ltd.,MEDIA & ENTERTAINMENT
DCAL,Dishman Carbogen Amcis Ltd.,PHARMA
DIVISLAB,Divi's Laboratories Ltd.,PHARMA
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA
DREDGECORP,Dredging Corporation of India Ltd.,SERVICES
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES
EIHOTEL,EIH Ltd.,SERVICES
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE
EMAMILTD,Emami Ltd.,CONSUMER GOODS
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION
EQUITAS,Equitas Holdings Ltd.,FINANCIAL SERVICES
ERIS,Eris Lifesciences Ltd.,PHARMA
EROSMEDIA,Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT
ESCORTS,Escorts Ltd.,AUTOMOBILE
EVEREADY,Eveready Industries India Ltd.,CONSUMER GOODS
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING
FSL,Firstsource Solutions Ltd.,IT
FCONSUMER,Future Consumer Ltd.,CONSUMER GOODS
FLFL,Future Lifestyle Fashions Ltd.,CONSUMER GOODS
GAIL,GAIL (India) Ltd.,ENERGY
GEPIL,GE Power India Ltd.,INDUSTRIAL MANUFACTURING
GET&D,GE T&D India Ltd.,INDUSTRIAL MANUFACTURING
GHCL,GHCL Ltd.,CHEMICALS
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION
GVKPIL,GVK Power & Infrastructures Ltd.,CONSTRUCTION
GDL,Gateway Distriparks Ltd.,SERVICES
GATI,Gati Ltd.,SERVICES
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES
GILLETTE,Gillette India Ltd.,CONSUMER GOODS
GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION
GRANULES,Granules India Ltd.,PHARMA
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES
GREAVESCOT,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING
GREENPLY,Greenply Industries Ltd.,CONSUMER GOODS
GRUH,Gruh Finance Ltd.,FINANCIAL SERVICES
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS
GUJFLUORO,Gujarat Fluorochemicals Ltd.,INDUSTRIAL MANUFACTURING
GUJGASLTD,Gujarat Gas Ltd.,ENERGY
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS
GPPL,Gujarat Pipavav Port Ltd.,SERVICES
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES
GSPL,Gujarat State Petronet Ltd.,ENERGY
GULFOILLUB,Gulf Oil Lubricants India Ltd.,ENERGY
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING
HCL-INSYS,HCL Infosystems Ltd.,IT
HCLTECH,HCL Technologies Ltd.,IT
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES
HSIL,HSIL Ltd.,CONSUMER GOODS
HTMEDIA,HT Media Ltd.,MEDIA & ENTERTAINMENT
HATHWAY,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS
HAVELLS,Havells India Ltd.,CONSUMER GOODS
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS
HERITGFOOD,Heritage Foods Ltd.,CONSUMER GOODS
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE
HEXAWARE,Hexaware Technologies Ltd.,IT
HFCL,Himachal Fut Com Ltd.,TELECOM
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS
HIMATSEIDE,Himatsingka Seide Ltd.,TEXTILES
HINDALCO,Hindalco Industries Ltd.,METALS
HCC,Hindustan Construction Co. Ltd.,CONSTRUCTION
HINDCOPPER,Hindustan Copper Ltd.,METALS
HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS
HINDZINC,Hindustan Zinc Ltd.,METALS
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES
HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION
ITC,I T C Ltd.,CONSUMER GOODS
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES
IDFCBANK,IDFC Bank Ltd.,FINANCIAL SERVICES
IDFC,IDFC Ltd.,FINANCIAL SERVICES
IFBIND,IFB Industries Ltd.,CONSUMER GOODS
IFCI,IFCI Ltd.,FINANCIAL SERVICES
IIFL,IIFL Holdings Ltd.,FINANCIAL SERVICES
IL&FSTRANS,IL&FS Transportation Networks Ltd.,CONSTRUCTION
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION
ITDCEM,ITD Cementation India Ltd.,CONSTRUCTION
ITI,ITI Ltd.,TELECOM
IDEA,Idea Cellular Ltd.,TELECOM
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS
ITDC,India Tourism Development Corporation Ltd.,SERVICES
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES
IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION
IBVENTURES,Indiabulls Ventures Ltd.,FINANCIAL SERVICES
INDIANB,Indian Bank,FINANCIAL SERVICES
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES
IOC,Indian Oil Corporation Ltd.,ENERGY
IOB,Indian Overseas Bank ,FINANCIAL SERVICES
ICIL,Indo Count Industries Ltd.,TEXTILES
INDOCO,Indoco Remedies Ltd.,PHARMA
IGL,Indraprastha Gas Ltd.,ENERGY
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES
INFIBEAM,Infibeam Incorporation Ltd.,IT
NAUKRI,Info Edge (India) Ltd.,IT
INFY,Infosys Ltd.,IT
INOXLEISUR,Inox Leisure Ltd.,MEDIA & ENTERTAINMENT
INOXWIND,Inox Wind Ltd.,INDUSTRIAL MANUFACTURING
INTELLECT,Intellect Design Arena Ltd.,IT
INDIGO,InterGlobe Aviation Ltd.,SERVICES
IPCALAB,Ipca Laboratories Ltd.,PHARMA
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS
JKIL,J.Kumar Infraprojects Ltd.,CONSTRUCTION
JBFIND,JBF Industries Ltd.,TEXTILES
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES
JSWENERGY,JSW Energy Ltd.,ENERGY
JSWSTEEL,JSW Steel Ltd.,METALS
JAGRAN,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT
JAICORPLTD,Jai Corp Ltd.,INDUSTRIAL MANUFACTURING
JISLJALEQS,Jain Irrigation Systems Ltd.,INDUSTRIAL MANUFACTURING
JPASSOCIAT,Jaiprakash Associates Ltd.,CEMENT & CEMENT PRODUCTS
JPPOWER,Jaiprakash Power Ventures Ltd.,ENERGY
J&KBANK,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES
JETAIRWAYS,Jet Airways (India) Ltd.,SERVICES
JINDALPOLY,Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING
JINDALSAW,Jindal Saw Ltd.,METALS
JSLHISAR,Jindal Stainless (Hisar) Ltd.,METALS
JSL,Jindal Stainless Ltd.,METALS
JINDALSTEL,Jindal Steel & Power Ltd.,METALS
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS
JUBILANT,Jubilant Life Sciences Ltd.,PHARMA
JUSTDIAL,Justdial Ltd.,IT
JYOTHYLAB,Jyothy Laboratories Ltd.,CONSUMER GOODS
KPRMILL,K.P.R. Mill Ltd.,TEXTILES
KNRCON,KNR Constructions Ltd.,CONSTRUCTION
KPIT,KPIT Technologies Ltd.,IT
KRBL,KRBL Ltd.,CONSUMER GOODS
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION
KALPATPOWR,Kalpataru Power Transmission Ltd.,ENERGY
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS
KTKBANK,Karnataka Bank Ltd.,FINANCIAL SERVICES
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES
KSCL,Kaveri Seed Company Ltd.,CONSUMER GOODS
KEC,Kec International Ltd.,CONSTRUCTION
KESORAMIND,Kesoram Industries Ltd.,CEMENT & CEMENT PRODUCTS
KITEX,Kitex Garments Ltd.,TEXTILES
KOLTEPATIL,Kolte-Patil Developers Ltd.,CONSTRUCTION
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES
KWALITY,Kwality Ltd.,CONSUMER GOODS
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES
LTTS,L&T Technology Services Ltd.,IT
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES
LAXMIMACH,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING
LAKSHVILAS,Lakshmi Vilas Bank Ltd.,FINANCIAL SERVICES
LTI,Larsen & Toubro Infotech Ltd.,IT
LT,Larsen & Toubro Ltd.,CONSTRUCTION
LAURUSLABS,Laurus Labs Ltd.,PHARMA
LUPIN,Lupin Ltd.,PHARMA
MASFIN,MAS Financial Services Ltd.,FINANCIAL SERVICES
MMTC,MMTC Ltd.,SERVICES
MOIL,MOIL Ltd.,METALS
MRF,MRF Ltd.,AUTOMOBILE
MAGMA,Magma Fincorp Ltd.,FINANCIAL SERVICES
MGL,Mahanagar Gas Ltd.,ENERGY
MTNL,Mahanagar Telephone Nigam Ltd.,TELECOM
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE
MAHINDCIE,Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING
MHRIL,Mahindra Holidays & Resorts India Ltd.,SERVICES
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES
MRPL,Mangalore Refinery & Petrochemicals Ltd.,ENERGY
MANPASAND,Manpasand Beverages Ltd.,CONSUMER GOODS
MARICO,Marico Ltd.,CONSUMER GOODS
MARKSANS,Marksans Pharma Ltd.,PHARMA
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES
MAXINDIA,Max India Ltd.,HEALTHCARE SERVICES
MCLEODRUSS,McLeod Russel India Ltd.,CONSUMER GOODS
MERCK,Merck Ltd.,PHARMA
MINDTREE,MindTree Ltd.,IT
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE
MINDAIND,Minda Industries Ltd.,AUTOMOBILE
MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTOMOBILE
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES
MPHASIS,MphasiS Ltd.,IT
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES
NATCOPHARM,NATCO Pharma Ltd.,PHARMA
NBCC,NBCC (India) Ltd.,CONSTRUCTION
NCC,NCC Ltd.,CONSTRUCTION
NESCO,NESCO Ltd.,SERVICES
NHPC,NHPC Ltd.,ENERGY
NIITTECH,NIIT Technologies Ltd.,IT
NLCINDIA,NLC India Ltd.,ENERGY
NMDC,NMDC Ltd.,METALS
NTPC,NTPC Ltd.,ENERGY
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES
NATIONALUM,National Aluminium Co. Ltd.,METALS
NFL,National Fertilizers Ltd.,FERTILISERS & PESTICIDES
NBVENTURES,Nava Bharat Ventures Ltd.,ENERGY
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS
NAVKARCORP,Navkar Corporation Ltd.,SERVICES
NETWORK18,Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT
NILKAMAL,Nilkamal Ltd.,INDUSTRIAL MANUFACTURING
OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY
OIL,Oil India Ltd.,ENERGY
OMAXE,Omaxe Ltd.,CONSTRUCTION
OFSS,Oracle Financial Services Software Ltd.,IT
ORIENTCEM,Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS
ORIENTBANK,Oriental Bank of Commerce,FINANCIAL SERVICES
PCJEWELLER,PC Jeweller Ltd.,CONSUMER GOODS
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES
PNCINFRA,PNC Infratech Ltd.,CONSTRUCTION
PFS,PTC India Fin Serv Ltd.,FINANCIAL SERVICES
PTC,PTC India Ltd.,ENERGY
PVR,PVR Ltd.,MEDIA & ENTERTAINMENT
PAGEIND,Page Industries Ltd.,TEXTILES
PARAGMILK,Parag Milk Foods Ltd.,CONSUMER GOODS
PERSISTENT,Persistent Systems Ltd.,IT
PETRONET,Petronet LNG Ltd.,ENERGY
PFIZER,Pfizer Ltd.,PHARMA
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS
PEL,Piramal Enterprises Ltd.,PHARMA
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY
PRAJIND,Praj Industries Ltd.,INDUSTRIAL MANUFACTURING
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION
PRISMCEM,Prism Cement Ltd.,CEMENT & CEMENT PRODUCTS
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS
PNB,Punjab National Bank,FINANCIAL SERVICES
QUESS,Quess Corp Ltd.,SERVICES
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES
RADICO,Radico Khaitan Ltd,CONSUMER GOODS
RAIN,Rain Industries Ltd,CHEMICALS
RAJESHEXPO,Rajesh Exports Ltd.,CONSUMER GOODS
RALLIS,Rallis India Ltd.,FERTILISERS & PESTICIDES
RAMCOSYS,Ramco Systems Ltd.,IT
RKFORGE,Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING
RCF,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES
RTNPOWER,RattanIndia Power Ltd.,ENERGY
RAYMOND,Raymond Ltd.,TEXTILES
REDINGTON,Redington (India) Ltd.,SERVICES
RELAXO,Relaxo Footwears Ltd.,CONSUMER GOODS
RELCAPITAL,Reliance Capital Ltd.,FINANCIAL SERVICES
RCOM,Reliance Communications Ltd.,TELECOM
RHFL,Reliance Home Finance Ltd.,FINANCIAL SERVICES
RELIANCE,Reliance Industries Ltd.,ENERGY
RELINFRA,Reliance Infrastructure Ltd.,ENERGY
RNAVAL,Reliance Naval and Engineering Ltd.,INDUSTRIAL MANUFACTURING
RPOWER,Reliance Power Ltd.,ENERGY
RELIGARE,Religare Enterprises Ltd.,FINANCIAL SERVICES
REPCOHOME,Repco Home Finance Ltd.,FINANCIAL SERVICES
RUPA,Rupa & Company Ltd.,TEXTILES
RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL SERVICES
SHK,S H Kelkar and Company Ltd.,CONSUMER GOODS
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES
SJVN,SJVN Ltd.,ENERGY
SKFINDIA,SKF India Ltd.,INDUSTRIAL MANUFACTURING
SMLISUZU,SML Isuzu Ltd.,AUTOMOBILE
SREINFRA,SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES
SRF,SRF Ltd.,TEXTILES
SADBHAV,Sadbhav Engineering Ltd.,CONSTRUCTION
SADBHIN,Sadbhav Infrastructure Project Ltd.,CONSTRUCTION
SANOFI,Sanofi India Ltd.,PHARMA
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING
SIS,Security and Intelligence Services (India) Ltd.,SERVICES
SHANKARA,Shankara Building Products Ltd.,METALS
SFL,Sheela Foam Ltd.,CONSUMER GOODS
SCI,Shipping Corporation of India Ltd.,SERVICES
SHOPERSTOP,Shoppers Stop Ltd.,CONSUMER GOODS
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS
RENUKA,Shree Renuka Sugars Ltd.,CONSUMER GOODS
SHRIRAMCIT,Shriram City Union Finance Ltd.,FINANCIAL SERVICES
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING
SPTL,Sintex Plastics Technology Ltd.,INDUSTRIAL MANUFACTURING
SOBHA,Sobha Ltd.,CONSTRUCTION
SOLARINDS,Solar Industries India Ltd.,CHEMICALS
SONATSOFTW,Sonata Software Ltd.,IT
SOUTHBANK,South Indian Bank Ltd.,FINANCIAL SERVICES
STARCEMENT,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS
SBIN,State Bank of India,FINANCIAL SERVICES
SAIL,Steel Authority of India Ltd.,METALS
STRTECH,Sterlite Technologies Ltd.,TELECOM
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,CHEMICALS
SPARC,Sun Pharma Advanced Research Company Ltd.,PHARMA
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT
SUNDRMFAST,Sundram Fasteners Ltd.,AUTOMOBILE
SUNTECK,Sunteck Realty Ltd.,CONSTRUCTION
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING
SUVEN,Suven Life Sciences Ltd.,PHARMA
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING
SWANENERGY,Swan Energy Ltd.,TEXTILES
SYMPHONY,Symphony Ltd.,CONSUMER GOODS
SYNDIBANK,Syndicate Bank,FINANCIAL SERVICES
SYNGENE,Syngene International Ltd.,PHARMA
TIFIN,TI Financial Holdings Ltd.,FINANCIAL SERVICES
TTKPRESTIG,TTK Prestige Ltd.,CONSUMER GOODS
TVTODAY,TV Today Network Ltd.,MEDIA & ENTERTAINMENT
